[20Feb2025 00:01:32.750] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: Matermo[/127.244.235.91:51207] logged in with entity id 87896 at (-417.6605358510271, -7.0, 2338.699999988079)
[20Feb2025 00:01:32.775] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Matermo joined the game
[20Feb2025 00:01:32.780] [Server thread/INFO] [Jade/]: Syncing config to Matermo (692a151e-06b6-357b-8a7c-fbccd926f7cd)
[20Feb2025 00:01:33.155] [Server thread/INFO] [ping-wheel/]: Channel update: Matermo -> default
[20Feb2025 00:02:16.996] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Matermo: Teleported Matermo to -416.500000, -6.500000, 2336.500000]
[20Feb2025 00:02:47.545] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Matermo: Teleported Matermo to -552.500000, -19.500000, 2415.500000]
[20Feb2025 00:03:21.743] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: MAGIBER lost connection: Disconnected
[20Feb2025 00:03:21.743] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: MAGIBER left the game
[20Feb2025 00:04:34.585] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Matermo: Teleported Matermo to -696.500000, -36.500000, 2482.500000]
[20Feb2025 00:04:42.513] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 2896ms or 57 ticks behind
[20Feb2025 00:04:43.036] [Worker-Main-111/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-18, y=-58, z=1419}
[20Feb2025 00:04:43.037] [Worker-Main-111/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-18, y=-58, z=1419}
[20Feb2025 00:04:43.037] [Worker-Main-111/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-18, y=-58, z=1421}
[20Feb2025 00:04:43.037] [Worker-Main-111/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-18, y=-58, z=1421}
[20Feb2025 00:04:43.037] [Worker-Main-111/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-16, y=-58, z=1421}
